timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,head_pos_x,head_pos_y
1719372741.920602,754,345,615,340,680,433
1719372742.100915,755,346,612,339,679,432
1719372742.196844,752,346,612,340,676,432
1719372742.2668061,756,346,614,340,678,432
1719372742.335009,757,343,614,340,679,432
1719372742.429522,757,345,618,338,680,431
1719372742.4964778,753,346,613,341,679,431
1719372742.564492,751,345,619,339,679,431
1719372742.630461,745,345,619,339,679,432
1719372742.697967,742,344,617,338,678,430
1719372742.765632,740,346,608,339,678,431
1719372742.839998,737,344,604,339,676,431
1719372742.897731,738,343,607,336,675,429
1719372742.9646459,739,341,595,338,674,430
1719372743.033419,735,345,600,336,674,430
1719372743.099974,737,345,594,336,674,431
1719372743.167454,732,343,598,336,672,431
1719372743.234775,732,343,592,336,671,430
1719372743.3006752,731,344,588,339,668,430
1719372743.3666408,730,345,590,337,669,430
1719372743.437175,731,343,591,337,669,431
1719372743.502856,731,345,589,337,669,430
1719372743.568019,730,345,587,338,669,430
1719372743.637123,731,343,588,337,668,430
1719372743.703419,732,343,593,337,669,431
1719372743.7692559,737,343,596,337,669,429
1719372743.814378,742,343,600,339,670,429
1719372743.869929,745,345,603,339,670,430
1719372743.934368,745,344,606,337,671,430
1719372744.00348,748,345,606,338,671,430
1719372744.0707672,747,345,605,337,670,429
1719372744.1369128,748,345,604,339,671,430
1719372744.20493,749,345,607,339,671,430
1719372744.271721,749,344,606,339,672,430
1719372744.33792,750,344,609,340,673,431
1719372744.4056509,750,345,607,340,673,431
1719372744.472359,750,344,606,339,672,430
1719372744.5392709,750,344,607,339,672,430
1719372744.607671,748,343,604,339,672,430
1719372744.672687,749,343,607,338,672,428
1719372744.739522,753,344,613,338,674,429
1719372744.781599,751,341,615,338,674,428
1719372744.840113,764,339,619,333,674,427
1719372744.9069881,765,340,620,335,676,428
1719372744.9755788,763,342,624,333,677,429
1719372745.0412538,771,341,625,335,677,428
1719372745.107637,772,341,623,335,680,429
1719372745.1755588,771,339,623,334,682,428
1719372745.241631,771,340,624,335,683,428
1719372745.308458,771,339,626,335,683,427
1719372745.377717,774,340,626,335,684,428
1719372745.442636,773,341,627,335,684,429
1719372745.5095098,772,342,626,336,682,429
1719372745.577114,774,343,626,334,685,428
1719372745.6441422,775,341,626,335,684,429
1719372745.710704,776,341,626,334,683,429
1719372745.754653,774,342,626,335,685,430
1719372745.811141,774,340,628,334,684,428
1719372745.878516,773,339,629,334,684,428
1719372745.94716,768,338,626,337,685,429
1719372746.012664,755,341,625,338,684,430
1719372746.092917,756,345,617,339,682,431
1719372746.147537,756,343,613,340,682,431
1719372746.21355,758,346,614,338,682,431
1719372746.279762,760,345,613,339,681,430
1719372746.348971,758,344,613,338,680,429
1719372746.413785,755,345,613,338,679,430
1719372746.480656,756,345,613,338,679,431
1719372746.5486999,754,346,614,339,678,430
1719372746.614305,756,346,613,339,678,431
1719372746.681468,755,345,610,339,677,431
1719372746.7249768,756,346,615,337,680,430
1719372746.7816472,754,344,610,338,679,430
1719372746.848809,755,343,612,338,680,429
1719372746.916558,757,337,616,331,682,428
1719372746.9827259,757,336,616,328,681,427
1719372747.048705,757,332,610,323,680,426
1719372747.117067,757,332,615,322,681,425
1719372747.183635,755,333,614,324,679,425
1719372747.250866,757,332,611,319,679,425
1719372747.318408,756,332,615,316,680,425
1719372747.384567,756,330,613,321,680,424
1719372747.450871,755,331,610,321,679,423
1719372747.5199091,756,331,612,324,679,424
1719372747.58554,757,331,611,324,678,424
1719372747.652375,756,332,614,327,680,424
1719372747.695152,758,332,613,326,680,425
1719372747.753154,757,332,613,323,678,424
1719372747.820126,753,337,610,333,678,426
1719372747.8877351,756,340,610,336,679,427
1719372747.954165,756,341,612,337,680,428
1719372748.020941,758,341,609,336,679,428
1719372748.0889542,757,342,612,336,678,429
1719372748.1542442,756,342,610,336,679,429
1719372748.221673,756,342,610,334,678,428
1719372748.289175,758,342,611,336,679,428
1719372748.355218,757,343,612,336,679,428
1719372748.429502,754,343,611,338,677,429
1719372748.494923,756,343,612,337,678,428
1719372748.559155,755,344,613,338,679,429
1719372748.622287,757,342,612,337,678,429
1719372748.668642,756,343,611,337,678,429
1719372748.7231731,757,343,614,333,678,427
1719372748.790313,753,341,612,334,677,428
1719372748.859478,748,338,599,327,677,425
1719372748.923441,743,334,610,323,679,425
1719372748.990622,745,331,594,321,677,424
1719372749.059048,743,333,589,323,677,424
1719372749.125463,741,332,591,325,675,423
1719372749.192563,739,334,590,327,674,424
1719372749.261209,742,332,597,324,674,424
1719372749.3265622,738,331,590,323,671,424
1719372749.3932831,736,331,587,325,670,424
1719372749.4610481,733,332,588,321,670,424
1719372749.526641,735,330,586,324,669,423
1719372749.594056,732,330,585,324,667,424
1719372749.635958,731,329,587,323,667,423
1719372749.694808,731,331,584,323,666,423
1719372749.7619689,733,329,585,321,667,423
1719372749.829369,736,330,603,323,667,422
1719372749.895469,732,341,601,338,666,427
1719372749.962691,742,338,601,336,667,426
1719372750.030825,741,340,599,337,666,426
1719372750.09849,742,337,600,334,666,425
1719372750.163244,742,337,600,335,666,425
1719372750.231185,742,338,600,335,667,425
1719372750.297785,743,337,600,334,667,425
1719372750.364398,744,338,601,334,667,425
1719372750.432686,743,338,600,334,667,425
1719372750.498579,744,338,599,332,667,424
1719372750.5655549,744,337,600,334,667,425
1719372750.6075861,745,338,601,332,667,424
1719372750.665331,743,338,600,334,667,426
1719372750.732312,744,340,601,335,668,426
1719372750.800375,745,340,602,334,668,425
1719372750.866457,746,341,602,334,669,426
1719372750.9332302,745,340,603,335,669,426
1719372751.00115,744,341,600,337,669,426
1719372751.066976,741,343,603,337,669,427
1719372751.1352398,737,343,601,338,668,427
1719372751.2016268,736,345,601,341,667,428
1719372751.268886,734,348,599,344,666,430
1719372751.3353732,730,348,598,344,666,430
1719372751.40382,728,348,596,345,664,430
1719372751.469217,727,350,597,345,664,431
1719372751.536289,729,350,596,346,665,431
1719372751.5778902,730,351,598,346,665,432
1719372751.636207,730,351,597,346,664,432
1719372751.7026649,727,350,596,345,664,431
1719372751.7725508,727,349,599,344,665,431
1719372751.837307,727,350,594,347,664,431
1719372751.903584,726,349,599,345,665,432
1719372751.972472,727,349,599,345,665,432
1719372752.038153,727,350,598,346,664,433
1719372752.105407,729,348,599,345,664,432
1719372752.172596,735,346,600,344,664,432
1719372752.239072,735,345,599,341,664,430
1719372752.305773,735,343,597,340,664,429
1719372752.3734841,737,342,597,340,665,429
1719372752.4398458,738,342,596,338,665,428
1719372752.506339,739,342,596,337,665,428
1719372752.551044,741,341,596,338,666,428
1719372752.606821,742,341,597,337,665,427
1719372752.674568,743,340,602,337,666,427
1719372752.7420511,743,341,600,339,666,428
1719372752.808366,743,341,600,338,667,428
1719372752.875316,742,341,601,335,666,427
1719372752.944066,742,340,602,334,665,426
1719372753.009481,744,341,601,337,666,427
1719372753.076043,746,342,602,336,667,427
1719372753.144562,745,343,606,338,667,428
1719372753.21054,744,345,606,340,667,429
1719372753.2774138,747,347,607,341,669,430
1719372753.343852,748,347,609,341,669,430
1719372753.410341,748,347,608,341,670,431
1719372753.4802802,747,348,608,340,670,431
1719372753.54571,754,352,611,342,673,432
1719372753.615243,753,352,611,342,673,432
1719372753.6776488,751,350,611,341,673,431
1719372753.744488,750,350,612,341,674,432
1719372753.8182771,755,351,613,340,674,431
1719372753.87889,756,350,614,341,674,431
1719372753.945534,757,348,611,342,674,433
1719372754.01483,750,349,609,341,673,432
1719372754.080466,747,349,607,341,673,431
1719372754.146911,746,347,606,340,672,430
1719372754.214606,748,347,608,339,672,429
1719372754.2811909,750,348,606,339,672,430
1719372754.3485498,752,346,609,337,674,430
1719372754.4155369,751,343,610,336,674,428
1719372754.4896839,750,342,610,337,673,429
1719372754.548886,751,342,611,336,674,428
1719372754.61572,751,339,610,334,674,426
1719372754.683381,751,334,611,330,674,425
1719372754.749472,752,329,614,328,675,424
1719372754.8168058,753,327,609,320,674,423
1719372754.884755,754,328,611,321,674,423
1719372754.951385,754,326,607,317,673,423
1719372755.018631,755,324,613,317,674,422
1719372755.0861251,755,325,616,317,676,420
1719372755.1520069,756,326,613,315,675,420
1719372755.21894,757,323,614,319,675,421
1719372755.286616,756,325,614,318,675,421
1719372755.353348,757,327,614,318,676,420
1719372755.419698,759,326,616,318,676,420
1719372755.461428,760,326,616,317,676,419
1719372755.519714,758,325,616,317,676,419
1719372755.586747,759,324,616,316,677,419
1719372755.654217,760,325,615,315,678,419
1719372755.720615,759,326,617,317,677,420
1719372755.7882738,754,331,618,330,678,423
1719372755.855907,755,340,615,334,678,425
1719372755.921939,754,340,612,333,677,424
1719372755.9886909,753,339,611,333,677,424
1719372756.056416,755,340,611,332,677,424
1719372756.122308,755,341,613,332,677,424
1719372756.190196,754,340,613,331,678,424
1719372756.258377,755,338,612,332,678,424
1719372756.3234198,755,339,611,333,678,424
1719372756.390496,757,335,615,331,678,423
1719372756.432121,760,333,618,327,679,422
1719372756.4914858,766,327,622,322,680,420
1719372756.558561,768,331,624,320,681,420
1719372756.625886,775,329,625,317,682,418
1719372756.69216,775,328,624,317,683,418
1719372756.75872,776,327,628,317,684,417
1719372756.827191,777,329,628,313,685,417
1719372756.8923252,776,326,631,317,686,417
1719372756.95985,778,325,630,317,686,417
1719372757.027801,780,328,630,318,687,418
1719372757.0936809,779,328,630,316,685,417
1719372757.160616,780,329,631,317,685,419
1719372757.227859,781,329,632,314,687,417
1719372757.294473,781,328,631,317,688,417
1719372757.361403,778,331,633,317,687,418
1719372757.404937,761,331,629,320,685,418
1719372757.4617941,757,333,630,325,686,421
1719372757.528573,760,336,621,329,684,422
1719372757.596884,759,336,622,327,685,421
1719372757.662977,761,336,624,331,687,423
1719372757.7306418,758,337,622,331,684,423
1719372757.798513,761,337,620,331,684,423
1719372757.863369,759,335,618,331,684,423
1719372757.9303522,756,338,616,333,683,424
1719372757.9980989,749,340,613,336,681,425
1719372758.064013,750,343,615,338,680,427
1719372758.131806,746,344,615,338,679,427
1719372758.1986089,746,347,611,340,677,428
1719372758.265097,745,346,611,342,677,430
1719372758.331448,744,348,609,342,676,430
1719372758.3746932,745,349,608,343,674,431
1719372758.436296,742,351,605,343,673,431
1719372758.500771,740,350,602,345,672,432
1719372758.56638,739,351,603,345,672,432
1719372758.63236,737,353,606,345,671,433
1719372758.6990001,737,352,607,344,671,433
1719372758.768106,744,347,607,341,672,431
1719372758.8347058,748,342,605,339,672,430
1719372758.9070332,749,341,607,338,673,429
1719372758.9721081,748,342,606,338,671,429
1719372759.034886,748,343,607,335,671,428
1719372759.102758,750,342,608,334,672,428
1719372759.169593,749,343,610,335,672,429
1719372759.236289,749,342,609,338,671,429
1719372759.3032892,747,342,606,337,670,427
1719372759.344615,746,341,603,337,669,428
1719372759.4031098,746,340,604,339,668,428
1719372759.4703119,745,342,603,337,667,429
1719372759.5380192,746,340,605,338,670,429
1719372759.605527,750,333,613,335,679,423
1719372759.673287,767,328,632,331,696,419
1719372759.74114,791,326,655,329,723,419
1719372759.812242,817,326,675,325,742,416
1719372759.8796532,815,327,700,324,764,417
1719372759.949491,851,336,717,324,785,414
1719372760.0177531,865,329,727,321,796,411
1719372760.083894,865,335,726,318,795,411
1719372760.151061,863,329,728,315,791,407
1719372760.217552,853,329,719,318,783,408
1719372760.283562,835,329,697,314,758,405
1719372760.3326788,825,329,694,315,752,409
1719372760.390027,799,328,662,312,720,405
1719372760.455937,772,327,631,318,697,404
1719372760.521249,746,328,608,315,668,404
1719372760.586636,721,321,585,319,647,405
1719372760.650932,695,321,560,317,627,401
1719372760.717773,678,321,546,323,609,404
1719372760.7824152,668,320,533,322,600,402
1719372760.8472571,667,317,534,319,594,402
1719372760.9148748,671,316,536,319,599,402
1719372760.9852228,679,317,547,321,611,401
1719372761.051233,702,318,566,316,629,402
